"",".","",""
"","mean","sd","count"
"Single parent","0.11","0.31","950"
"Two parents, cohabiting","0.05","0.21","950"
"Two parents, married","0.84","0.36","950"
"Less than high school","0.16","0.36","950"
"High school","0.25","0.43","950"
"Some college","0.18","0.38","950"
"BA+","0.42","0.49","950"
"Mother foreign born","0.81","0.39","950"
"Racial endogamy","0.73","0.45","950"
"Mother age","36.69","7.61","950"
"Midwest","0.19","0.39","950"
"Northeast","0.23","0.42","950"
"South","0.23","0.42","950"
"West","0.35","0.48","950"
"Survey year","2015.99","2.92","950"
"Observations","950","",""
