"",".","",""
"","mean","sd","count"
"Single parent","0.13","0.33","1249"
"Two parents, cohabiting","0.06","0.23","1249"
"Two parents, married","0.82","0.39","1249"
"Less than high school","0.07","0.26","1249"
"High school","0.22","0.42","1249"
"Some college","0.27","0.44","1249"
"BA+","0.44","0.50","1249"
"Mother foreign born","0.76","0.43","1249"
"Racial endogamy","0.60","0.49","1249"
"Mother age","39.03","8.19","1249"
"Midwest","0.09","0.28","1249"
"Northeast","0.08","0.28","1249"
"South","0.22","0.41","1249"
"West","0.61","0.49","1249"
"Survey year","2015.59","2.64","1249"
"Observations","1249","",""
