"",".","",""
"","mean","sd","count"
"Single parent","0.15","0.36","49917"
"Two parents, cohabiting","0.08","0.28","49917"
"Two parents, married","0.76","0.43","49917"
"Less than high school","0.04","0.20","49917"
"High school","0.20","0.40","49917"
"Some college","0.31","0.46","49917"
"BA+","0.45","0.50","49917"
"Mother foreign born","0.05","0.23","49917"
"Mother age","36.67","8.12","49917"
"Midwest","0.26","0.44","49917"
"Northeast","0.20","0.40","49917"
"South","0.32","0.47","49917"
"West","0.22","0.41","49917"
"Survey year","2015.68","2.75","49917"
"Observations","49917","",""
