="",="(1)",="",="(2)",=""
="",="Two parents, married",="",="Two parents, married",=""
="",="Two parents, married",="",="Two parents, married",=""
="South Asian",="0.794+",="(0.443)",="0.764",="(0.784)"
="East Asian",="0.302",="(0.233)",="-0.045",="(0.263)"
="Southeast Asian",="-0.254",="(0.193)",="0.068",="(0.225)"
="Other Asian",="0.221",="(0.267)",="-0.757*",="(0.321)"
="Mother age",="0.002",="(0.005)",="0.042***",="(0.002)"
="Survey year",="0.013",="(0.014)",="-0.006",="(0.004)"
="Northeast",="0.126",="(0.126)",="-0.132***",="(0.034)"
="South",="0.012",="(0.123)",="0.031",="(0.029)"
="West",="-0.005",="(0.118)",="0.139***",="(0.033)"
="Less than high school",="-0.463*",="(0.204)",="-0.678***",="(0.051)"
="High school",="0.072",="(0.160)",="-0.244***",="(0.028)"
="BA+",="0.467***",="(0.136)",="1.133***",="(0.029)"
="South Asian # Less than high school",="0.000",="(.)",="-0.605",="(1.620)"
="South Asian # High school",="0.613",="(0.687)",="-0.107",="(1.126)"
="South Asian # BA+",="0.620",="(0.485)",="-1.054",="(0.850)"
="East Asian # Less than high school",="1.268+",="(0.665)",="0.882",="(1.217)"
="East Asian # High school",="0.067",="(0.349)",="0.450",="(0.453)"
="East Asian # BA+",="0.111",="(0.279)",="0.218",="(0.335)"
="Southeast Asian # Less than high school",="0.325",="(0.362)",="0.000",="(.)"
="Southeast Asian # High school",="0.363",="(0.287)",="-0.167",="(0.369)"
="Southeast Asian # BA+",="0.303",="(0.256)",="-0.475",="(0.325)"
="Other Asian # Less than high school",="0.986*",="(0.424)",="0.687",="(0.851)"
="Other Asian # High school",="-0.397",="(0.344)",="0.513",="(0.432)"
="Other Asian # BA+",="0.419",="(0.356)",="0.624",="(0.467)"
="Constant",="-24.990",="(28.917)",="11.511",="(8.316)"
="Observations",="6657",="",="48201",=""
="r2",="",="",="",=""
="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.01"
