"",".","",""
"","mean","sd","count"
"Non-marital childbearing","0.11","0.31","143872"
"Mother age","31.35","4.57","143872"
"year","2016.66","1.39","143872"
"Mother foreign born","0.83","0.37","143872"
"Asian Indian","0.00","0.00","143872"
"East Asian","1.00","0.00","143872"
"Filipino/Vietnamese","0.00","0.00","143872"
"Other Asian","0.00","0.00","143872"
"Less than high school degree or GED","0.03","0.18","143872"
"High school degree or GED","0.07","0.26","143872"
"Some college or AA degree","0.14","0.34","143872"
"BA degree or higher","0.76","0.43","143872"
"Asian endogamy","0.70","0.46","143872"
"Observations","143872","",""
