"",".","",""
"","mean","sd","count"
"Non-marital childbearing","0.03","0.17","154267"
"Mother age","29.74","4.09","154267"
"year","2016.88","1.40","154267"
"Mother foreign born","0.90","0.30","154267"
"Asian Indian","1.00","0.00","154267"
"East Asian","0.00","0.00","154267"
"Filipino/Vietnamese","0.00","0.00","154267"
"Other Asian","0.00","0.00","154267"
"Less than high school degree or GED","0.03","0.16","154267"
"High school degree or GED","0.06","0.24","154267"
"Some college or AA degree","0.08","0.27","154267"
"BA degree or higher","0.83","0.37","154267"
"Asian endogamy","0.91","0.29","154267"
"Observations","154267","",""
