"",".","",""
"","mean","sd","count"
"Non-marital childbearing","0.33","0.47","3708564"
"Mother age","27.63","5.45","3708564"
"year","2016.91","1.42","3708564"
"Mother foreign born","0.06","0.24","3708564"
"Asian Indian","0.00","0.00","3708564"
"East Asian","0.00","0.00","3708564"
"Filipino/Vietnamese","0.00","0.00","3708564"
"Other Asian","0.00","0.00","3708564"
"Less than high school degree or GED","0.05","0.22","3708564"
"High school degree or GED","0.20","0.40","3708564"
"Some college or AA degree","0.29","0.45","3708564"
"BA degree or higher","0.46","0.50","3708564"
"Observations","3708564","",""
