"",".","",""
"","mean","sd","count"
"Single parent","0.09","0.28","1538"
"Two parents, cohabiting","0.03","0.16","1538"
"Two parents, married","0.89","0.32","1538"
"Less than high school","0.03","0.17","1538"
"High school","0.14","0.34","1538"
"Some college","0.17","0.38","1538"
"BA+","0.66","0.47","1538"
"Mother foreign born","0.73","0.45","1538"
"Racial endogamy","0.66","0.47","1538"
"Mother age","39.78","7.65","1538"
"Midwest","0.10","0.30","1538"
"Northeast","0.22","0.41","1538"
"South","0.20","0.40","1538"
"West","0.49","0.50","1538"
"Survey year","2015.83","2.83","1538"
"Observations","1538","",""
