"",".","",""
"","mean","sd","count"
"Single parent","0.04","0.20","1227"
"Two parents, cohabiting","0.01","0.09","1227"
"Two parents, married","0.95","0.21","1227"
"Less than high school","0.02","0.12","1227"
"High school","0.07","0.26","1227"
"Some college","0.06","0.24","1227"
"BA+","0.85","0.36","1227"
"Mother foreign born","0.92","0.27","1227"
"Racial endogamy","0.91","0.29","1227"
"Mother age","36.79","6.43","1227"
"Midwest","0.16","0.37","1227"
"Northeast","0.30","0.46","1227"
"South","0.32","0.47","1227"
"West","0.21","0.41","1227"
"Survey year","2016.15","2.94","1227"
"Observations","1227","",""
