="",="(1)",="",="",="",="",="",="(2)",="",="",="",="",="",="(3)",="",="",="",="",=""
="",="famstx",="",="",="",="",="",="famstx",="",="",="",="",="",="famstx",="",="",="",="",=""
="",="0",="",="1",="",="2",="",="0",="",="1",="",="2",="",="0",="",="1",="",="2",=""
="South Asian",="-0.722",="(0.482)",="-2.261***",="(0.743)",="0.000",="(.)",="-0.895",="(0.918)",="-0.350",="(0.727)",="0.000",="(.)",="-0.897*",="(0.414)",="-1.454***",="(0.427)",="0.000",="(.)"
="Southeast Asian",="0.592*",="(0.267)",="0.221",="(0.244)",="0.000",="(.)",="-0.401",="(0.393)",="-0.520",="(0.366)",="0.000",="(.)",="0.318",="(0.215)",="0.073",="(0.197)",="0.000",="(.)"
="Other Asian",="-0.081",="(0.324)",="-1.017***",="(0.356)",="0.000",="(.)",="0.711",="(0.512)",="-0.406",="(0.532)",="0.000",="(.)",="0.118",="(0.251)",="-0.813***",="(0.273)",="0.000",="(.)"
="Mother age",="-0.007",="(0.007)",="0.012+",="(0.007)",="0.000",="(.)",="-0.042***",="(0.013)",="0.003",="(0.009)",="0.000",="(.)",="-0.021***",="(0.006)",="0.007",="(0.005)",="0.000",="(.)"
="Survey year",="-0.025",="(0.021)",="0.009",="(0.018)",="0.000",="(.)",="0.033",="(0.032)",="0.013",="(0.026)",="0.000",="(.)",="-0.006",="(0.017)",="0.015",="(0.014)",="0.000",="(.)"
="Northeast",="-0.317",="(0.198)",="-0.206",="(0.184)",="0.000",="(.)",="0.602",="(0.416)",="-0.158",="(0.318)",="0.000",="(.)",="-0.175",="(0.174)",="-0.298+",="(0.152)",="0.000",="(.)"
="South",="-0.129",="(0.188)",="-0.095",="(0.175)",="0.000",="(.)",="0.455",="(0.403)",="0.537+",="(0.288)",="0.000",="(.)",="-0.023",="(0.168)",="0.043",="(0.141)",="0.000",="(.)"
="West",="0.002",="(0.172)",="-0.192",="(0.164)",="0.000",="(.)",="0.520",="(0.349)",="-0.298",="(0.253)",="0.000",="(.)",="0.224",="(0.151)",="-0.081",="(0.131)",="0.000",="(.)"
="Less than high school",="-1.019",="(0.636)",="-2.598*",="(1.029)",="0.000",="(.)",="-1.785",="(1.097)",="-2.893***",="(1.067)",="0.000",="(.)",="-1.159*",="(0.551)",="-2.294***",="(0.739)",="0.000",="(.)"
="High school",="-0.252",="(0.317)",="-0.749*",="(0.301)",="0.000",="(.)",="-0.600",="(0.500)",="-0.850+",="(0.460)",="0.000",="(.)",="-0.400",="(0.259)",="-0.762***",="(0.242)",="0.000",="(.)"
="BA+",="-0.624*",="(0.250)",="-0.357+",="(0.205)",="0.000",="(.)",="-1.608***",="(0.377)",="-0.539+",="(0.312)",="0.000",="(.)",="-0.884***",="(0.202)",="-0.263",="(0.163)",="0.000",="(.)"
="South Asian # Less than high school",="-12.669",="(754.595)",="3.953***",="(1.464)",="0.000",="(.)",="2.398",="(1.974)",="0.000",="(.)",="0.000",="(.)",="0.422",="(1.229)",="2.419*",="(1.127)",="0.000",="(.)"
="South Asian # High school",="-0.420",="(0.741)",="0.855",="(0.978)",="0.000",="(.)",="0.646",="(1.308)",="-0.224",="(1.169)",="0.000",="(.)",="-0.125",="(0.624)",="0.160",="(0.657)",="0.000",="(.)"
="South Asian # BA+",="-0.461",="(0.530)",="0.248",="(0.772)",="0.000",="(.)",="1.074",="(1.000)",="-0.970",="(0.791)",="0.000",="(.)",="-0.167",="(0.456)",="-0.636",="(0.458)",="0.000",="(.)"
="Southeast Asian # Less than high school",="0.859",="(0.705)",="-0.688",="(1.450)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.856",="(0.622)",="-1.310",="(1.257)",="0.000",="(.)"
="Southeast Asian # High school",="-0.309",="(0.400)",="0.150",="(0.389)",="0.000",="(.)",="1.189+",="(0.662)",="1.189+",="(0.630)",="0.000",="(.)",="0.025",="(0.331)",="0.239",="(0.317)",="0.000",="(.)"
="Southeast Asian # BA+",="-0.166",="(0.337)",="0.166",="(0.289)",="0.000",="(.)",="1.108*",="(0.513)",="0.710+",="(0.427)",="0.000",="(.)",="0.171",="(0.276)",="0.178",="(0.231)",="0.000",="(.)"
="Other Asian # Less than high school",="0.384",="(0.739)",="0.949",="(1.223)",="0.000",="(.)",="1.060",="(1.404)",="0.000",="(.)",="0.000",="(.)",="0.179",="(0.635)",="0.068",="(0.970)",="0.000",="(.)"
="Other Asian # High school",="0.555",="(0.442)",="0.521",="(0.518)",="0.000",="(.)",="-0.159",="(0.720)",="0.171",="(0.751)",="0.000",="(.)",="0.380",="(0.355)",="0.399",="(0.402)",="0.000",="(.)"
="Other Asian # BA+",="-0.190",="(0.415)",="0.777+",="(0.401)",="0.000",="(.)",="-0.162",="(0.663)",="0.743",="(0.595)",="0.000",="(.)",="-0.260",="(0.332)",="0.609*",="(0.308)",="0.000",="(.)"
="Constant",="50.161",="(41.421)",="-18.769",="(36.147)",="0.000",="(.)",="-64.893",="(64.227)",="-24.874",="(51.846)",="0.000",="(.)",="11.814",="(33.789)",="-31.954",="(28.068)",="0.000",="(.)"
="Observations",="3964",="",="",="",="",="",="1000",="",="",="",="",="",="4964",="",="",="",="",=""
="r2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.01"
