"",".","",""
"","mean","sd","count"
"Non-marital childbearing","0.23","0.42","72902"
"Mother age","28.50","5.31","72902"
"year","2016.86","1.42","72902"
"Mother foreign born","0.74","0.44","72902"
"Asian Indian","0.00","0.00","72902"
"East Asian","0.00","0.00","72902"
"Filipino/Vietnamese","0.00","0.00","72902"
"Other Asian","1.00","0.00","72902"
"Less than high school degree or GED","0.11","0.31","72902"
"High school degree or GED","0.20","0.40","72902"
"Some college or AA degree","0.21","0.41","72902"
"BA degree or higher","0.48","0.50","72902"
"Asian endogamy","0.70","0.46","72902"
"Observations","72902","",""
