"",".","",""
"","mean","sd","count"
"Non-marital childbearing","0.22","0.42","81764"
"Mother age","30.21","5.22","81764"
"year","2016.71","1.42","81764"
"Mother foreign born","0.75","0.43","81764"
"Asian Indian","0.00","0.00","81764"
"East Asian","0.00","0.00","81764"
"Filipino/Vietnamese","1.00","0.00","81764"
"Other Asian","0.00","0.00","81764"
"Less than high school degree or GED","0.04","0.20","81764"
"High school degree or GED","0.15","0.36","81764"
"Some college or AA degree","0.28","0.45","81764"
"BA degree or higher","0.53","0.50","81764"
"Asian endogamy","0.54","0.50","81764"
"Observations","81764","",""
