="The first birth to women aged 18-49, NVSS 2015-2019"
="",="(1)",="",="(2)",="",="(3)",=""
="",="Non-marital childbearing",="",="Non-marital childbearing",="",="Non-marital childbearing",=""
="",="Non-marital childbearing",="",="Non-marital childbearing",="",="Non-marital childbearing",=""
="Asian Indian",="-2.138***",="(0.016)",="-1.707***",="(0.030)",="-1.073***",="(0.031)"
="East Asian",="-0.638***",="(0.009)",="-0.633***",="(0.018)",="0.031+",="(0.018)"
="Filipino/Vietnamese",="-0.229***",="(0.010)",="-0.202***",="(0.015)",="0.359***",="(0.015)"
="Other Asian",="-0.604***",="(0.010)",="-0.177***",="(0.017)",="0.272***",="(0.018)"
="Less than high school degree or GED",="0.831***",="(0.005)",="0.918***",="(0.006)",="0.946***",="(0.006)"
="High school degree or GED",="0.621***",="(0.003)",="0.649***",="(0.003)",="0.660***",="(0.003)"
="BA degree or higher",="-1.493***",="(0.003)",="-1.515***",="(0.003)",="-1.511***",="(0.003)"
="Mother age",="-0.100***",="(0.000)",="-0.099***",="(0.000)",="-0.096***",="(0.000)"
="year",="0.001",="(0.001)",="0.000",="(0.001)",="-0.001",="(0.001)"
="Asian Indian # Less than high school degree or GED",="",="",="-0.872***",="(0.056)",="-0.775***",="(0.056)"
="Asian Indian # High school degree or GED",="",="",="-0.498***",="(0.043)",="-0.429***",="(0.043)"
="Asian Indian # BA degree or higher",="",="",="-0.504***",="(0.039)",="-0.450***",="(0.040)"
="East Asian # Less than high school degree or GED",="",="",="-0.348***",="(0.036)",="-0.263***",="(0.036)"
="East Asian # High school degree or GED",="",="",="-0.333***",="(0.028)",="-0.277***",="(0.028)"
="East Asian # BA degree or higher",="",="",="0.197***",="(0.022)",="0.120***",="(0.022)"
="Filipino/Vietnamese # Less than high school degree or GED",="",="",="-0.770***",="(0.040)",="-0.676***",="(0.040)"
="Filipino/Vietnamese # High school degree or GED",="",="",="-0.584***",="(0.024)",="-0.504***",="(0.025)"
="Filipino/Vietnamese # BA degree or higher",="",="",="0.533***",="(0.021)",="0.469***",="(0.021)"
="Other Asian # Less than high school degree or GED",="",="",="-1.459***",="(0.031)",="-1.216***",="(0.032)"
="Other Asian # High school degree or GED",="",="",="-0.722***",="(0.025)",="-0.620***",="(0.025)"
="Other Asian # BA degree or higher",="",="",="0.128***",="(0.026)",="0.210***",="(0.026)"
="Mother foreign born",="",="",="",="",="-0.842***",="(0.006)"
="Constant",="1.178",="(1.787)",="1.466",="(1.790)",="3.716*",="(1.795)"
="Observations",="4161369",="",="4161369",="",="4161369",=""
="r2",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
