="The first birth to women aged 18-49, NVSS 2015-2019"
="",="(1)",="",="(2)",="",="(3)",="",="(4)",=""
="",="Non-marital childbearing",="",="Non-marital childbearing",="",="Non-marital childbearing",="",="Non-marital childbearing",=""
="",="Non-marital childbearing",="",="Non-marital childbearing",="",="Non-marital childbearing",="",="Non-marital childbearing",=""
="Asian Indian",="-1.770***",="(0.019)",="-1.312***",="(0.040)",="-0.740***",="(0.031)",="-0.493***",="(0.053)"
="East Asian",="-0.251***",="(0.011)",="-0.125***",="(0.022)",="-0.025",="(0.021)",="0.065",="(0.042)"
="Filipino/Vietnamese",="0.186***",="(0.012)",="0.238***",="(0.021)",="0.456***",="(0.018)",="0.447***",="(0.027)"
="Other Asian",="-0.234***",="(0.014)",="-0.063*",="(0.027)",="0.614***",="(0.017)",="0.678***",="(0.027)"
="Less than high school degree or GED",="0.310***",="(0.016)",="0.167***",="(0.026)",="0.981***",="(0.006)",="0.982***",="(0.006)"
="High school degree or GED",="0.204***",="(0.012)",="0.139***",="(0.017)",="0.671***",="(0.003)",="0.673***",="(0.003)"
="BA degree or higher",="-1.097***",="(0.011)",="-0.888***",="(0.014)",="-1.542***",="(0.004)",="-1.540***",="(0.004)"
="Mother age",="-0.022***",="(0.001)",="-0.025***",="(0.001)",="-0.103***",="(0.000)",="-0.103***",="(0.000)"
="year",="-0.008**",="(0.003)",="-0.008*",="(0.003)",="0.001",="(0.001)",="0.001",="(0.001)"
="Asian Indian # Less than high school degree or GED",="",="",="0.266***",="(0.068)",="",="",="-0.382*",="(0.170)"
="Asian Indian # High school degree or GED",="",="",="0.255***",="(0.055)",="",="",="-0.176+",="(0.093)"
="Asian Indian # BA degree or higher",="",="",="-1.146***",="(0.051)",="",="",="-0.437***",="(0.071)"
="East Asian # Less than high school degree or GED",="",="",="0.612***",="(0.045)",="",="",="0.065",="(0.193)"
="East Asian # High school degree or GED",="",="",="0.305***",="(0.034)",="",="",="-0.179*",="(0.085)"
="East Asian # BA degree or higher",="",="",="-0.515***",="(0.028)",="",="",="-0.118*",="(0.050)"
="Filipino/Vietnamese # Less than high school degree or GED",="",="",="0.032",="(0.050)",="",="",="-0.046",="(0.122)"
="Filipino/Vietnamese # High school degree or GED",="",="",="-0.020",="(0.032)",="",="",="-0.120*",="(0.057)"
="Filipino/Vietnamese # BA degree or higher",="",="",="-0.086**",="(0.029)",="",="",="0.058",="(0.038)"
="Other Asian # Less than high school degree or GED",="",="",="-0.139**",="(0.046)",="",="",="-0.004",="(0.109)"
="Other Asian # High school degree or GED",="",="",="-0.021",="(0.038)",="",="",="-0.197***",="(0.046)"
="Other Asian # BA degree or higher",="",="",="-0.317***",="(0.038)",="",="",="-0.068+",="(0.040)"
="Constant",="15.155*",="(5.972)",="14.719*",="(5.967)",="1.080",="(1.894)",="1.091",="(1.894)"
="Observations",="610486",="",="610486",="",="3550883",="",="3550883",=""
="r2",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
